tokens_est	chars	path
811	3244	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/outerGlowStyle.jsx
801	3205	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/masks/maskReport.jsx
801	3205	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/masks/maskReport.jsx
798	3190	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/textLayerReport.jsx
798	3190	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/textLayerReport.jsx
776	3102	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/presetHelper.jsx
776	3102	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/presetHelper.jsx
758	3031	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/layerResolver.jsx
758	3031	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/layerResolver.jsx
752	3006	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStylesReport.jsx
752	3006	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStylesReport.jsx
740	2960	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/dropShadowStyle.jsx
740	2960	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/dropShadowStyle.jsx
726	2906	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerCollectionReport.jsx
726	2906	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerCollectionReport.jsx
706	2822	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/expressionHelper.jsx
706	2822	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/expressionHelper.jsx
697	2787	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/innerShadowStyle.jsx
697	2787	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/innerShadowStyle.jsx
684	2738	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/downloadManager.jsx
684	2738	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/downloadManager.jsx
676	2705	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/transformReport.jsx
676	2705	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/transformReport.jsx
671	2685	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/imageSequenceLayerReport.jsx
671	2685	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/imageSequenceLayerReport.jsx
662	2648	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/exporterHelpers.jsx
662	2648	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/exporterHelpers.jsx
655	2621	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/imageLayerReport.jsx
655	2621	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/imageLayerReport.jsx
638	2551	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/propertyReport.jsx
638	2551	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/propertyReport.jsx
609	2436	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/compositionLayerReport.jsx
609	2436	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/compositionLayerReport.jsx
582	2327	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeGradientStrokeReport.jsx
582	2327	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeGradientStrokeReport.jsx
572	2290	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/renderQueueHelper.jsx
572	2290	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/renderQueueHelper.jsx
558	2230	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeStarReport.jsx
558	2230	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeStarReport.jsx
551	2204	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/unhandledLayerReport.jsx
551	2204	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/unhandledLayerReport.jsx
546	2186	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/strokeStyle.jsx
546	2186	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/strokeStyle.jsx
546	2182	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/imageSeqHelper.jsx
546	2182	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/imageSeqHelper.jsx
540	2160	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/adjustmentLayerReport.jsx
540	2160	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/adjustmentLayerReport.jsx
534	2135	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/audioLayerReport.jsx
534	2135	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/audioLayerReport.jsx
532	2127	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/demoExporter.jsx
532	2127	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/demoExporter.jsx
526	2105	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/cameraLayerReport.jsx
526	2105	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/cameraLayerReport.jsx
524	2097	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/riveExporter.jsx
524	2097	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/riveExporter.jsx
522	2087	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/maskHelper.jsx
522	2087	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/maskHelper.jsx
521	2085	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapeLayerReport.jsx
521	2085	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapeLayerReport.jsx
508	2033	Aescripts-TypeMonkey v1.18/TypeMonkey v1.18/(TypeMonkey_TextMods)/TM_Pig_Latinizor.jsx
507	2027	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeGradientFillReport.jsx
507	2027	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeGradientFillReport.jsx
503	2011	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/XMPParser.jsx
503	2011	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/XMPParser.jsx
494	1977	Divers/Add Parented Null to Selected Layers.jsx
492	1968	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/shapeTypeResolver.jsx
492	1968	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/shapeTypeResolver.jsx
486	1944	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/standaloneExporter.jsx
486	1944	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/standaloneExporter.jsx
481	1923	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/cameraHelper.jsx
481	1923	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/cameraHelper.jsx
478	1911	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/animationReport.jsx
478	1911	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/animationReport.jsx
454	1814	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/positionReport.jsx
454	1814	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/positionReport.jsx
448	1793	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/rotationReport.jsx
448	1793	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/rotationReport.jsx
441	1765	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeMergePathsReport.jsx
441	1765	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeMergePathsReport.jsx
417	1668	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/lightLayerReport.jsx
417	1668	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/lightLayerReport.jsx
415	1660	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapePuckerAndBloatReport.jsx
415	1660	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapePuckerAndBloatReport.jsx
410	1640	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/smilExporter.jsx
410	1640	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/smilExporter.jsx
406	1624	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/gradientOverlayStyle.jsx
406	1624	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/avdExporter.jsx
406	1624	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/gradientOverlayStyle.jsx
406	1624	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/avdExporter.jsx
404	1614	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/failedLayerReport.jsx
404	1614	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/failedLayerReport.jsx
400	1598	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/solidLayerReport.jsx
400	1598	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/solidLayerReport.jsx
399	1597	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/colorOverlayStyle.jsx
399	1597	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/colorOverlayStyle.jsx
398	1593	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/bevelEmbossStyle.jsx
398	1593	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/bevelEmbossStyle.jsx
398	1591	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/nullLayerReport.jsx
398	1591	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/nullLayerReport.jsx
396	1583	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeGroupReport.jsx
396	1583	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeGroupReport.jsx
384	1534	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerStyles/satinStyle.jsx
384	1534	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerStyles/satinStyle.jsx
372	1488	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeStrokeReport.jsx
372	1488	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeStrokeReport.jsx
368	1470	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeRepeaterReport.jsx
368	1470	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeRepeaterReport.jsx
367	1467	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeTrimPathsReport.jsx
367	1467	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeTrimPathsReport.jsx
365	1460	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeRectReport.jsx
365	1460	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeRectReport.jsx
358	1433	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/hostscript.jsx
358	1433	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/hostscript.jsx
352	1410	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/builderTypes.jsx
352	1410	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/builderTypes.jsx
339	1356	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeUnhandledReport.jsx
339	1356	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeUnhandledReport.jsx
338	1352	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeEllipseReport.jsx
338	1352	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeEllipseReport.jsx
332	1328	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeFillReport.jsx
332	1328	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeFillReport.jsx
329	1315	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportAnimatorSelectorMessageFactory.jsx
329	1315	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportAnimatorSelectorMessageFactory.jsx
328	1311	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportEffectMessageFactory.jsx
328	1311	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/masksReport.jsx
328	1311	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportEffectMessageFactory.jsx
328	1311	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/masksReport.jsx
318	1274	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeRoundCornersReport.jsx
318	1274	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeRoundCornersReport.jsx
318	1270	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportAnimatorMessageFactory.jsx
318	1270	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportAnimatorMessageFactory.jsx
310	1241	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/layerStyleResolver.jsx
310	1241	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/layerStyleResolver.jsx
293	1173	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeCollectionReport.jsx
293	1173	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeCollectionReport.jsx
287	1147	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/shapes/shapeShapeReport.jsx
287	1147	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/shapes/shapeShapeReport.jsx
282	1127	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/eventManager.jsx
282	1127	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/eventManager.jsx
276	1102	Divers/bake_expression.jsx
266	1062	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/audioHelper.jsx
266	1062	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/audioHelper.jsx
263	1052	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/messageClassReport.jsx
263	1052	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/messageClassReport.jsx
262	1048	Aescripts-TypeMonkey v1.18/TypeMonkey v1.18/Freebie/TM_DuplicateMarkerRemover.jsx
209	837	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/maskTypeResolver.jsx
209	837	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/maskTypeResolver.jsx
194	776	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportsManager.jsx
194	776	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportsManager.jsx
183	733	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/renderHelper.jsx
183	733	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/renderHelper.jsx
178	714	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/reportMessageFactory.jsx
178	714	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/reportMessageFactory.jsx
171	684	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/markerHelper.jsx
171	684	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/markerHelper.jsx
169	676	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/timeremapHelper.jsx
169	676	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/timeremapHelper.jsx
162	648	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/shapeLayerReport.jsx
162	648	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/shapeLayerReport.jsx
152	606	Aescripts-Pro IO v2.16.2/Pro_IO_v2.16.2/com.aescripts.proio/main.jsx
144	574	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/dataHelper.jsx
144	574	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/dataHelper.jsx
112	448	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/versionHelper.jsx
112	447	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/versionHelper.jsx
89	357	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/shapeTypes.jsx
89	357	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/shapeTypes.jsx
80	320	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/rendererTypes.jsx
80	320	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/rendererTypes.jsx
75	300	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/layerTypes.jsx
75	300	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/layerTypes.jsx
67	267	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/messageTypes.jsx
67	267	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/messageTypes.jsx
50	201	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/layerStyleTypes.jsx
50	201	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/layerStyleTypes.jsx
38	150	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/enums/maskTypes.jsx
38	150	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/enums/maskTypes.jsx
